,Speceis Name,optimal temperature,optimal pH,optimal salt concentration
188,Mesobacillus jeotgali,32.5,7.5,None
189,Salibacterium salarium,30.0,8.0,11.0
190,Fictibacillus macauensis,30.0,8.5,2.0
191,Priestia koreensis,37.5,7.0,1.5
192,Metabacillus niabensis,30.0,7.0,None
193,Evansella cellulosilytica,37.0,9.5,7.5
194,Alkalihalobacillus hemicellulosilyticus,37.0,10.0,7.5
195,Halalkalibacter wakoensis,37.0,9.5,5.0
196,Fictibacillus arsenicus,30.0,6.8,0.5
197,Lederbergia ruris,35.0,8.5,None
198,Alkalicoccus saliphilus,37.0,9.0,16.0
199,Metabacillus herbersteinensis,16.0,9.5,2.5
200,Alkalihalobacillus macyae,32.5,7.8,1.2
201,Metabacillus litoralis,37.0,7.5,2.5
202,Pseudalkalibacillus hwajinpoensis,32.5,6.5,3.5
203,Rossellomorea aquimaris,33.5,6.5,3.5
204,Rossellomorea marisflavi,33.5,7.0,3.5
205,Caldalkalibacillus mannanilyticus,37.0,9.0,2.0
206,Fictibacillus gelatini,45.0,6.5,15.0
207,Neobacillus soli,30.0,7.5,None
208,Neobacillus novalis,35.0,8.0,None
209,Neobacillus vireti,30.0,7.2,None
210,Neobacillus bataviensis,30.0,7.5,None
211,Neobacillus drentensis,30.0,7.5,None
212,Niallia nealsonii,32.5,7.0,None
213,Pseudalkalibacillus decolorationis,31.0,None,5.5
214,Bacillus acidicola,30.0,5.25,2.0
215,Priestia endophytica,28.0,None,None
216,Thalassobacillus pellis,37.0,7.5,10.0
217,Thalassobacillus cyri,40.0,7.5,8.0
218,Thalassobacillus devorans,37.0,7.0,8.75
219,Pontibacillus litoralis,35.0,7.5,3.5
220,Pontibacillus halophilus,27.5,7.5,7.5
221,Pontibacillus marinus,30.0,7.2,3.5
222,Pontibacillus chungwhensis,32.5,8.0,3.5
223,Paraliobacillus quinghaiensis,37.0,8.0,5.0
224,Ornithinibacillus contaminans,30.0,8.0,None
225,Ornithinibacillus californiensis,30.0,None,4.25
226,Ornithinibacillus bavariensis,42.0,None,2.25
227,Oceanobacillus neutriphilus,37.0,7.0,4.0
228,Oceanobacillus kapialis,37.0,8.0,10.0
229,Oceanobacillus caeni,35.0,7.0,3.5
230,Oceanobacillus profundus,35.0,8.0,2.0
231,Oceanobacillus chironomi,37.0,8.5,2.0
232,Oceanobacillus oncorhynchi subsp. incaldanensis,37.0,9.0,10.0
233,Marinococcus luteus,28.0,7.0,12.5
234,Marinococcus halotolerans,28.0,7.2,10.0
235,Lentibacillus persicus,32.5,7.5,8.75
236,Lentibacillus jeotgali,37.0,8.0,12.5
237,Lentibacillus salis,37.0,8.0,10.0
238,Lentibacillus salinarum,38.5,6.8,11.0
239,Lentibacillus halodurans,30.0,7.2,10.0
240,Lentibacillus kapialis,37.0,7.0,15.0
241,Lentibacillus halophilus,33.5,7.2,23.0
242,Lentibacillus lacisalsi,31.0,8.0,13.5
243,Lentibacillus salarius,32.5,7.2,13.0
244,Halolactibacillus miurensis,38.5,9.5,2.75
245,Halolactibacillus halophilus,33.5,8.5,2.5
246,Halobacillus salsuginis,30.0,7.5,7.5
247,Halobacillus alkaliphilus,37.0,9.0,10.0
248,Halobacillus seohaensis,37.0,7.5,8.0
249,Halobacillus mangrovi,34.0,7.0,10.0
250,Halobacillus salinus,33.5,7.0,6.0
251,Halobacillus profundi,25.0,7.8,10.0
252,Halobacillus kuroshimensis,25.0,7.8,6.0
253,Halobacillus dabanensis,35.0,7.5,10.0
254,Halobacillus aidingensis,32.0,7.5,10.0
255,Halobacillus yeomjeoni,37.0,7.5,4.0
256,Halobacillus karajensis,36.0,8.0,10.0
257,Halobacillus litoralis,35.0,7.5,10.0
258,Halobacillus trueperi,35.0,7.5,10.0
259,Cerasibacillus quisquiliarum,50.0,8.9,0.5
260,Bacillus cytotoxicus,33.5,None,None
261,Cytobacillus kochii,30.0,7.0,0.5
262,Alteribacillus iranensis,35.0,7.5,6.25
263,Fictibacillus nanhaiensis,30.0,8.0,2.25
264,Cytobacillus oceanisediminis,37.0,7.0,6.5
265,Bacillus siamensis,37.0,6.5,None
266,Fictibacillus rigui,33.5,7.5,1.5
267,Alkalihalophilus marmarensis,35.0,10.0,2.5
268,Caldalkalibacillus uzonensis,51.0,8.3,None
269,Virgibacillus campisalis,37.0,7.8,4.5
270,Virgibacillus soli,27.5,8.0,None
271,Virgibacillus subterraneus,30.0,7.5,9.0
272,Virgibacillus salinus,37.0,7.5,10.0
273,Virgibacillus sediminis,37.5,7.8,7.5
274,Virgibacillus kekensis,37.0,7.0,10.0
275,Virgibacillus arcticus,25.0,7.0,5.0
276,Virgibacillus salarius,32.5,7.5,8.5
277,Virgibacillus olivae,30.0,7.0,None
278,Virgibacillus dokdonensis,37.0,7.5,4.5
279,Virgibacillus carmonensis,27.5,None,5.0
280,Virgibacillus necropolis,30.0,None,5.0
281,Virgibacillus proomii,37.0,None,None
282,Virgibacillus marismortui,37.0,7.5,10.0
283,Virgibacillus salexigens,37.0,7.5,10.0
284,Virgibacillus pantothenticus,37.0,None,None
285,Gracilibacillus bigeumensis,37.0,8.0,7.0
286,Gracilibacillus kekensis,40.0,8.0,3.0
287,Gracilibacillus thailandensis,37.0,7.0,7.5
288,Gracilibacillus saliphilus,32.5,7.0,12.5
289,Gracilibacillus lacisalsi,40.0,7.8,6.0
290,Gracilibacillus halophilus,47.5,7.0,15.0
291,Gracilibacillus boraciitolerans,26.5,8.0,None
292,Gracilibacillus halotolerans,47.0,7.5,0.0
293,Geobacillus jurassicus,59.0,7.1,None
294,Geobacillus lituanicus,57.5,None,None
295,Parageobacillus toebii,60.0,7.5,None
296,Geobacillus uzenensis,60.0,6.8,None
297,Parageobacillus caldoxylosilyticus,57.5,None,None
298,Geobacillus vulcani,60.0,6.0,2.0
299,Parageobacillus thermantarcticus,60.0,6.0,None
300,Geobacillus kaustophilus,60.0,6.8,None
301,Geobacillus thermoleovorans,60.0,6.5,None
302,Parageobacillus thermoglucosidasius,50.0,8.0,None
303,Geobacillus thermocatenulatus,60.0,7.0,None
304,Geobacillus stearothermophilus,60.0,None,None
305,Falsibacillus pallidus,33.5,7.5,None
306,Amphibacillus cookii,39.0,8.0,5.0
307,Amphibacillus jilinensis,32.0,9.0,None
308,Amphibacillus sediminis,27.0,8.5,None
309,Pelagirhabdus fermentum,37.0,9.0,10.0
310,Vulcanibacillus modesticaldus,55.0,7.0,2.5
311,Bacteriovorax stolpii,25.0,None,None
312,Alteribacillus bidgolensis,35.0,7.0,6.25
313,Alteribacillus persepolensis,40.0,8.25,10.0
314,Salisediminibacterium halotolerans,37.0,8.0,9.0
315,Natribacillus halophilus,30.0,8.2,12.5
316,Streptohalobacillus salinus,37.0,7.5,7.0
317,Calditerricola yamamurae,72.0,7.0,1.6
318,Calditerricola satsumensis,78.0,7.5,2.0
319,Anaerobacillus alkalidiazotrophicus,34.0,9.5,None
320,Sediminibacillus albus,37.0,7.5,7.0
321,Sediminibacillus halophilus,37.0,7.5,6.25
322,Tumebacillus permanentifrigoris,27.5,None,None
323,Salimicrobium flavidum,33.5,7.5,10.0
324,Salsuginibacillus kocurii,35.0,8.5,10.0
325,Aquisalibacillus elongatus,37.0,7.5,10.0
326,Salirhabdus euzebyi,37.5,7.8,5.0
327,Piscibacillus salipiscarius,37.0,7.0,15.0
328,Lysinibacillus macroides,30.0,8.0,None
329,Lysinibacillus xylanilyticus,30.0,None,None
330,Lysinibacillus parviboronicapiens,30.0,7.0,3.0
331,Lysinibacillus boronitolerans,37.0,7.5,None
332,Lysinibacillus odysseyi,32.5,7.0,2.5
333,Terribacillus saccharophilus,25.0,8.0,3.0
334,Terribacillus halophilus,25.0,7.5,3.0
335,Terribacillus goriensis,30.0,7.5,1.0
336,Halalkalibacillus halophilus,33.5,8.75,12.5
337,Paucisalibacillus globulus,37.0,8.2,1.0
338,Jeotgalibacillus soli,33.5,8.2,0.5
339,Jeotgalibacillus salarius,30.0,7.5,2.0
340,Jeotgalibacillus campisalis,30.0,7.5,2.5
341,Jeotgalibacillus alimentarius,32.5,7.5,None
342,Serinibacter salmoneus,28.0,7.0,2.5
343,Salana multivorans,33.5,7.5,None
344,Beutenbergia cavernae,28.0,None,None
345,Methylorosula polaris,22.5,5.8,None
346,Camelimonas abortus,29.5,7.0,3.0
347,Camelimonas lactis,27.5,7.0,None
348,Methylovirgula ligni,22.0,4.8,None
349,Beijerinckia doebereinerae,30.0,6.5,None
350,Methylocella tundrae,15.0,5.8,None
351,Methylocella silvestris,20.0,5.5,None
352,Methylocapsa aurea,27.5,6.1,None
353,Methylocapsa acidiphila,22.0,5.2,None
354,Chelatococcus daeguensis,33.5,7.2,0.5
355,Chelatococcus sambhunathii,39.5,7.8,None
356,Bartonella coopersplainsensis,30.0,8.0,None
357,Bacteroides faecis,37.0,None,None
358,Bacteroides oleiciplenus,37.0,7.0,None
359,Bacteroides fluxus,37.0,7.0,None
360,Bacteroides clarus,37.0,7.0,None
361,Bacteroides xylanisolvens,38.0,6.8,None
362,Phocaeicola paurosaccharolyticus,35.0,7.7,1.0
363,Bacteroides graminisolvens,33.0,7.2,None
364,Bacteroides cellulosilyticus,37.0,6.8,None
365,Bacteroides propionicifaciens,30.0,7.9,1.0
366,Bacteroides coprosuis,37.0,None,None
367,Phocaeicola dorei,37.0,7.0,None
368,Phocaeicola massiliensis,37.0,None,None
369,Bacteroides finegoldii,37.0,7.0,None
370,Bacteroides intestinalis,37.0,7.0,None
371,Phocaeicola coprocola,37.0,None,None
372,Phocaeicola plebeius,37.0,None,None
373,Bosea minatitlanensis,37.0,6.0,None
374,Bosea thiooxidans,31.0,7.8,None
375,Bradyrhizobium oligotrophicum,37.0,None,None
376,Georgenia halophila,37.0,7.5,7.5
377,Georgenia thermotolerans,28.0,7.0,2.5
378,Georgenia ruanii,28.0,7.0,None
379,Georgenia muralis,30.0,None,None
380,Bogoriella caseilytica,32.5,9.5,None
381,Alloscardovia omnicolens,36.5,None,None
382,Aeriscardovia aeriphila,37.0,None,None
383,Bifidobacterium adolescentis,37.0,6.8,None
384,Bifidobacterium mongoliense,27.5,6.75,None
385,Bifidobacterium tsurumiense,37.0,None,None
386,Bifidobacterium bombi,30.0,None,None
387,Bifidobacterium psychraerophilum,37.0,None,None
388,Bifidobacterium merycicum,40.0,6.7,None
389,Bifidobacterium ruminantium,40.0,6.7,None
390,Brucella oryzae,30.0,6.5,None
391,Brucella tritici,30.0,6.5,None
392,Brucella grignonensis,30.0,6.5,None
393,Ochrobactrum anthropi,28.5,None,None
394,Brevibacterium salitolerans,34.0,7.2,5.5
395,Brevibacterium sandarakinum,27.5,8.5,None
396,Brevibacterium album,34.0,7.5,2.5
397,Brevibacterium marinum,28.0,None,None
398,Brevibacterium oceani,27.0,6.8,None
399,Brevibacterium samyangense,42.5,9.6,2.5
400,Brevibacterium celere,27.0,8.75,7.5
401,Brevibacterium picturae,25.0,7.0,10.0
402,Peribacillus frigoritolerans,28.0,None,None
403,Brevibacterium ravenspurgense,28.0,None,5.5
404,Brevibacterium iodinum,28.0,None,None
405,Brevibacterium epidermidis,28.0,None,None
406,Brevibacterium casei,28.0,None,None
407,Salinarimonas ramus,28.0,7.0,4.0
408,Salinarimonas rosea,29.0,7.5,3.0
409,Rhodoplanes tepidamans,40.0,7.2,None
410,Bradyrhizobium jicamae,28.0,7.0,None
411,Bradyrhizobium pachyrhizi,28.0,7.0,None
412,Bradyrhizobium liaoningense,27.5,6.7,None
413,Bradyrhizobium betae,28.0,7.2,None
414,Bradyrhizobium canariense,29.0,None,None
415,Rhodoblastus sphagnicola,27.5,5.3,None
416,Paraburkholderia oxyphila,30.0,5.75,None
417,Paraburkholderia sabiae,28.0,7.0,None
418,Paraburkholderia bryophila,28.0,None,None
419,Paraburkholderia megapolitana,28.0,None,None
420,Paraburkholderia nodosa,32.5,None,None
421,Mycetohabitans endofungorum,30.5,6.25,1.0
422,Mycetohabitans rhizoxinica,30.5,6.25,1.0
423,Paraburkholderia silvatlantica,33.0,7.0,None
424,Paraburkholderia mimosarum,32.5,7.0,None
425,Trinickia soli,28.0,6.5,1.0
426,Paraburkholderia terrae,27.5,7.0,0.75
427,Paraburkholderia phytofirmans,30.0,None,0.5
428,Paraburkholderia tropica,30.0,5.4,None
429,Daeguia caeni,33.5,7.5,0.75
430,Arcobacter mytili,30.0,None,3.0
431,Caldisphaera lagunensis,74.0,3.8,None
432,Pandoraea thiooxydans,30.0,7.0,None
433,Campylobacter cuniculorum,39.5,4.0,1.0
434,Campylobacter canadensis,38.5,None,None
435,Campylobacter hominis,37.0,None,None
436,Arcobacter trophiarum,27.5,None,2.0
437,Arcobacter marinus,33.5,7.0,4.0
438,Lacticigenium naphthae,30.0,7.0,3.0
439,Trichococcus ilyis,30.0,7.8,None
440,Marinilactibacillus piezotolerans,38.5,7.5,1.49
441,Carnobacterium jeotgali,30.0,8.5,2.0
442,Atopococcus tabaci,30.0,None,None
443,Alkalibacterium pelagium,37.0,9.25,1.0
444,Alkalibacterium putridalgicola,38.5,8.5,3.0
445,Alkalibacterium thalassium,37.0,9.0,1.75
446,Alkalibacterium kapii,31.0,8.75,2.0
447,Suttonella ornithocola,33.5,None,None
448,Sulfurospirillum cavolei,30.0,7.0,None
449,Sulfurospirillum barnesii,33.0,7.5,0.05
450,Sulfurospirillum arsenophilum,20.0,7.5,0.1
451,Actinotalea fermentans,28.0,None,None
452,Oerskovia jenensis,28.0,None,None
453,Oerskovia paurometabola,28.0,None,None
454,Oerskovia turbata,30.0,None,None
455,Cellulomonas soli,25.0,8.5,1.5
456,Cellulomonas oligotrophica,26.0,9.0,3.0
457,Cellulomonas carbonis,28.0,7.0,None
458,Cellulomonas aerilata,28.0,7.5,0.5
459,Cellulomonas chitinilytica,28.0,7.2,None
460,Cellulomonas composti,30.0,7.2,5.5
461,Cellulomonas bogoriensis,28.0,9.5,None
462,Cellulomonas xylanilytica,30.0,7.0,None
463,Cellulomonas hominis,37.0,None,None
464,Cellulomonas uda,28.0,None,None
465,Cellulomonas gelida,28.0,None,None
466,Cellulomonas flavigena,28.0,7.0,None
467,Cellulomonas fimi,28.0,None,None
468,Cellulomonas cellasea,28.0,None,None
469,Cellulomonas biazotea,28.0,None,None
470,Phenylobacterium muchangponense,30.0,7.0,None
471,Phenylobacterium composti,30.0,7.5,0.5
472,Phenylobacterium koreense,29.0,7.5,None
473,Phenylobacterium lituiforme,40.5,6.25,None
474,Phenylobacterium immobile,29.0,6.9,None
475,Brevundimonas staleyi,30.0,None,1.75
476,Brevundimonas poindexterae,25.0,None,1.75
477,Brevundimonas halotolerans,30.0,None,None
478,Brevundimonas basaltis,30.0,7.5,None
479,Brevundimonas naejangsanensis,30.0,8.0,0.5
480,Brevundimonas lenta,25.0,6.75,None
481,Brevundimonas aveniformis,30.0,8.0,0.5
482,Brevundimonas kwangchunensis,30.0,7.5,None
483,Brevundimonas nasdae,30.0,None,None
484,Desulfurispirillum indicum,28.0,7.4,2.34
485,Thiophaeococcus mangrovi,30.0,7.2,1.0
486,Thiocapsa marina,32.5,7.3,1.5
487,Thiorhodococcus kakinadensis,30.0,7.2,1.5
488,Imhoffiella bheemlica,27.5,7.1,2.0
489,Thiorhodococcus mannitoliphagus,27.5,7.2,1.25
490,Thiohalocapsa marina,30.0,7.5,2.0
491,Rheinheimera tangshanensis,30.0,7.0,1.0
492,Rheinheimera soli,27.5,7.2,0.5
493,Rheinheimera aquimaris,33.5,7.5,2.0
494,Rheinheimera chironomi,33.5,None,0.75
495,Rheinheimera texasensis,33.5,7.75,None
496,Marichromatium indicum,32.5,6.75,2.5
497,Halochromatium roseum,27.0,7.5,2.0
498,Allochromatium renukae,30.0,7.6,None
499,Allochromatium phaeobacterium,30.0,7.5,None
500,Roseiflexus castenholzii,50.0,7.8,None
501,Clostridium cellulovorans,37.0,7.0,None
502,Ruminiclostridium cellobioparum subsp. cellobioparum,33.5,7.2,None
503,Gottschalkia acidurici,34.0,7.8,None
504,Caloramator boliviensis,60.0,6.75,None
505,Caloramator mitchellensis,55.0,7.0,None
506,Caloramator australicus,60.0,7.0,None
507,Tepidimicrobium xylanilyticum,60.0,8.5,3.0
508,Tepidimicrobium ferriphilum,50.0,7.8,1.75
509,Gottschalkia purinilytica,36.0,7.5,None
510,Hathewaya proteolytica,33.5,7.0,None
511,Faecalicatena orotica,37.0,7.0,None
512,Hathewaya limosa,37.0,None,None
513,Hathewaya histolytica,37.0,8.5,None
514,Ruminiclostridium cellulolyticum,33.5,None,None
515,Thalassotalea agarivorans,25.0,8.0,3.0
516,Thalassotalea ganghwensis,35.0,7.5,3.0
517,Colwellia chukchiensis,24.0,7.5,4.3
518,Colwellia aestuarii,27.5,7.5,2.5
519,Anaerosalibacter bizertensis,40.0,7.5,None
520,Sporosalibacterium faouarense,40.0,6.9,4.0
521,Proteiniclasticum ruminis,38.5,7.2,None
522,Butyricicoccus pullicaecorum,42.0,None,None
523,Lutispora thermophila,56.5,7.75,None
524,Clostridiisalibacter paucivorans,42.0,6.8,5.0
525,Anaerosporobacter mobilis,30.0,6.75,0.5
526,Geosporobacter subterraneus,42.0,7.3,None
527,Clostridium hydrogeniformans,35.0,7.9,None
528,Clostridium cavendishii,41.5,7.45,None
529,Thermoclostridium caenicola,60.0,6.5,1.0
530,Acetivibrio clariflavus,57.5,7.5,0.4
531,Clostridium sulfidigenes,34.0,6.6,None
532,Clostridium tagluense,17.5,6.85,1.0
533,Clostridium amylolyticum,37.0,7.0,None
534,Enterocloster lavalensis,36.0,None,None
535,Ruminiclostridium sufflavum,33.0,7.4,None
536,Clostridium nitrophenolicum,30.0,7.2,0.5
537,Clostridium aestuarii,30.0,7.0,4.0
538,Clostridium tepidiprofundi,50.0,6.4,2.5
539,Clostridium ganghwense,35.0,7.5,2.5
540,Clostridium phytofermentans,37.0,8.2,None
541,Clostridium drakei,33.5,6.5,None
542,Clostridium aciditolerans,35.0,7.25,None
543,Clostridium schirmacherense,7.5,8.0,None
544,Clostridium lundense,37.0,6.2,None
545,Anaerocolumna jejuensis,30.0,7.0,0.25
546,Acetivibrio straminisolvens,52.5,7.5,None
547,Clostridium carboxidivorans,38.0,6.2,None
548,Simplicispira limi,30.0,7.5,None
549,Roseateles depolymerans,35.0,6.5,None
550,Polaromonas jejuensis,29.0,6.5,None
